/home/minh.le4/RouterDC/venv/lib/python3.12/site-packages/transformers/convert_slow_tokenizer.py:558: UserWarning: The sentencepiece tokenizer that you are converting to a fast tokenizer uses the byte fallback option which is not implemented in the fast tokenizers. In practice this means that the fast version of the tokenizer can produce unknown tokens whereas the sentencepiece version would have converted these unknown tokens into a sequence of byte tokens matching the original piece of text.
  warnings.warn(
init_model, router_node size: ['codellama/CodeLlama-7b-Instruct-hf', 'codellama/CodeLlama-13b-Instruct-hf', 'deepseek-ai/DeepSeek-Coder-V2-Lite-Instruct', 'Qwen/Qwen2.5-Coder-14B-Instruct', 'bigcode/starcoder2-15b-instruct-v0.1', 'Virtue-AI-HUB/VulnLLM-R-7B']
Training start!!!
step:386, loss:1.7386162281036377                                      
step:387, loss:1.830352783203125                                       
step:388, loss:1.6030449867248535                                      
step:389, loss:1.7513604164123535                                      
step:390, loss:1.722731113433838                                       
step:391, loss:1.7303180694580078                                      
step:392, loss:1.793635368347168                                       
step:393, loss:1.8271877765655518                                      
 39%|███▉      | 394/1000 [35:38<18:41,  1.85s/it, step=393, loss=1.83]step:394, avg_loss_per_epoch:1.7976851493574035
step:394, loss:1.7746343612670898                                      
step:395, loss:1.799009919166565                                       
step:396, loss:1.9047327041625977                                     
step:397, loss:1.7705440521240234                                      
step:398, loss:1.6977077722549438                                      
 40%|███▉      | 399/1000 [35:47<18:13,  1.82s/it, step=398, loss=1.7]validation start
acc_./datasets/split2_primevul_cluster_choice/primevul_choice_train_choice.json: 0.49341687817258884
acc 0.2825190355329949
test start
acc_./datasets/split2_primevul_choice/primevul_choice_test.json: 0.4863064396743153
acc 0.27738712065136933
average testing 0.4863064396743153
average training 0.49341687817258884
step:399, loss:1.8619441986083984                                      
step:400, loss:1.8773574829101562                                         
step:401, loss:1.721879243850708                                          
step:402, loss:1.7112940549850464                                        
step:403, loss:1.9028069972991943                                        
step:404, loss:1.9283154010772705                                        
step:405, loss:1.7698283195495605                                        
step:406, loss:1.6630640029907227                                        
step:407, loss:1.77117121219635                                          
step:408, loss:1.821782112121582                                         
step:409, loss:1.687690019607544                                       
step:410, loss:1.8759897947311401                                      
step:411, loss:1.8341172933578491                                      
step:412, loss:1.8684983253479004                                      
step:413, loss:1.8733822107315063                                      
step:414, loss:1.7758979797363281                                      
step:415, loss:1.7137311697006226                                      
step:416, loss:1.9151990413665771                                      
step:417, loss:1.862776756286621                                       
step:418, loss:1.6030933856964111                                      
step:419, loss:1.8536239862442017                                      
step:420, loss:1.7551008462905884                                      
step:421, loss:1.7636557817459106                                      
step:422, loss:1.7698769569396973                                      
step:423, loss:1.6960006952285767                                      
step:424, loss:1.9227780103683472                                      
step:425, loss:1.8133153915405273                                      
step:426, loss:1.853821039199829                                       
step:427, loss:1.8067748546600342                                      
step:428, loss:1.665145993232727                                       
step:429, loss:1.7362287044525146                                      
step:430, loss:1.8295915126800537                                      
step:431, loss:1.7812937498092651                                      
step:432, loss:1.8717397451400757                                      
step:433, loss:1.8544909954071045                                      
step:434, loss:1.8769816160202026                                      
step:435, loss:1.7298780679702759                                      
step:436, loss:1.7855579853057861                                      
step:437, loss:1.7347519397735596                                      
step:438, loss:1.9398953914642334                                      
step:439, loss:1.7879815101623535                                      
step:440, loss:1.894628643989563                                       
step:441, loss:1.7797729969024658                                      
step:442, loss:1.8496955633163452                                      
step:443, loss:1.7239563465118408                                      
step:444, loss:1.8326497077941895                                      
step:445, loss:1.8023414611816406                                      
step:446, loss:1.9075403213500977                                      
step:447, loss:1.8191580772399902                                      
step:448, loss:1.7510217428207397                                      
 45%|████▍     | 449/1000 [40:40<16:49,  1.83s/it, step=448, loss=1.75]validation start
acc_./datasets/split2_primevul_cluster_choice/primevul_choice_train_choice.json: 0.4940513959390863
acc 0.28323286802030456
test start
acc_./datasets/split2_primevul_choice/primevul_choice_test.json: 0.4868615840118431
acc 0.2779422649888971
average testing 0.4868615840118431
average training 0.4940513959390863
step:449, loss:1.753127098083496                                       
step:450, loss:1.681679368019104                                         
step:451, loss:1.9472092390060425                                        
step:452, loss:1.8618535995483398                                        
step:453, loss:1.688551902770996                                         
step:454, loss:1.8236957788467407                                        
step:455, loss:1.895209789276123                                         
step:456, loss:1.659555435180664                                         
step:457, loss:1.722934365272522                                         
step:458, loss:1.672971487045288                                         
step:459, loss:1.6978135108947754                                      
step:460, loss:1.8891562223434448                                      
step:461, loss:1.6782610416412354                                      
step:462, loss:1.6648683547973633                                      
step:463, loss:1.7580878734588623                                      
step:464, loss:1.8189799785614014                                      
step:465, loss:1.7739609479904175                                      
step:466, loss:1.8211066722869873                                      
step:467, loss:1.7798711061477661                                      
step:468, loss:1.761971354484558                                       
step:469, loss:1.7002005577087402                                      
step:470, loss:1.7814583778381348                                      
step:471, loss:1.81238853931427                                        
step:472, loss:1.8223661184310913                                      
step:473, loss:1.8183568716049194                                      
step:474, loss:1.8586845397949219                                      
step:475, loss:1.9520692825317383                                      
step:476, loss:1.869368076324463                                       
step:477, loss:1.7381069660186768                                      
step:478, loss:1.7074986696243286                                      
step:479, loss:1.782737135887146                                       
step:480, loss:1.7494288682937622                                      
step:481, loss:1.6985909938812256                                      
step:482, loss:1.8576542139053345                                      
step:483, loss:1.755735158920288                                       
step:484, loss:1.7535665035247803                                      
step:485, loss:1.8213725090026855                                      
step:486, loss:1.9253376722335815                                      
step:487, loss:1.891054630279541                                       
step:488, loss:1.7081490755081177                                      
step:489, loss:1.784703254699707                                       
step:490, loss:1.7219040393829346                                      
step:491, loss:1.7811353206634521                                      
step:492, loss:1.7399868965148926                                      
step:493, loss:1.6789913177490234                                      
step:494, loss:1.7101359367370605                                      
step:495, loss:1.7265290021896362                                      
step:496, loss:1.8093336820602417                                      
